deployment_id,site_id,project_id,lat,long,start,end,survey_nights,habitat,feature_type
OR_Forest_Forrester_21_dep_01,OR_Forest_Forrester_21_loc_01dup,Snapshot USA 2021,45.30501,-118.60709,9/1/2021,11/24/2021,84,Forest,Trail game
OR_Forest_Forrester_21_dep_02,OR_Forest_Forrester_21_loc_02,Snapshot USA 2021,45.30404,-118.59492,9/1/2021,11/24/2021,84,Forest,Trail game
OR_Forest_Forrester_21_dep_03,OR_Forest_Forrester_21_loc_03,Snapshot USA 2021,45.30509,-118.58216,9/1/2021,11/5/2021,65,Forest,Trail game
OR_Forest_Forrester_21_dep_04,OR_Forest_Forrester_21_loc_04,Snapshot USA 2021,45.30507,-118.56945,9/1/2021,11/5/2021,65,Forest,Trail game
OR_Forest_Forrester_21_dep_05,OR_Forest_Forrester_21_loc_05,Snapshot USA 2021,45.30468,-118.55659,9/1/2021,10/28/2021,57,Forest,Road dirt
OR_Forest_Forrester_21_dep_06,OR_Forest_Forrester_21_loc_06,Snapshot USA 2021,45.30501,-118.54423,9/1/2021,10/28/2021,57,Forest,Road dirt
OR_Forest_Forrester_21_dep_07,OR_Forest_Forrester_21_loc_07,Snapshot USA 2021,45.30486,-118.53106,9/1/2021,10/28/2021,57,Forest,Road dirt
OR_Forest_Forrester_21_dep_08,OR_Forest_Forrester_21_loc_08,Snapshot USA 2021,45.30592,-118.51761,9/1/2021,11/8/2021,68,Forest,Road dirt
OR_Forest_Forrester_21_dep_09,OR_Forest_Forrester_21_loc_09,Snapshot USA 2021,45.29494,-118.59507,9/1/2021,11/3/2021,63,Forest,Trail game
OR_Forest_Forrester_21_dep_10,OR_Forest_Forrester_21_loc_10,Snapshot USA 2021,45.29564,-118.58151,9/1/2021,11/3/2021,63,Forest,Trail game
OR_Forest_Forrester_21_dep_11,OR_Forest_Forrester_21_loc_11,Snapshot USA 2021,45.29587,-118.56839,9/1/2021,10/10/2021,39,Forest,Trail game
OR_Forest_Forrester_21_dep_12,OR_Forest_Forrester_21_loc_12,Snapshot USA 2021,45.29577,-118.5555,9/1/2021,11/8/2021,68,Forest,Trail game
OR_Forest_Forrester_21_dep_13,OR_Forest_Forrester_21_loc_13,Snapshot USA 2021,45.29614,-118.54317,9/1/2021,11/8/2021,68,Forest,Trail game
OR_Forest_Forrester_21_dep_14,OR_Forest_Forrester_21_loc_14,Snapshot USA 2021,45.2956,-118.53027,9/1/2021,10/28/2021,57,Forest,Trail game
OR_Forest_Forrester_21_dep_15,OR_Forest_Forrester_21_loc_15,Snapshot USA 2021,45.29562,-118.5172,9/1/2021,10/28/2021,57,Forest,Trail game
OR_Forest_Forrester_21_dep_16,OR_Forest_Forrester_21_loc_16,Snapshot USA 2021,45.28684,-118.59365,9/1/2021,11/18/2021,78,Forest,Road dirt
