detection_id,sequence_id,class,order,family,genus,species,common_name,age,sex,group_number
cd00001,7446823,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00002,7446946,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00003,7447030,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd00004,7447116,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd00005,7447141,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd00006,7447148,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00007,7447191,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
cd00008,7447219,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern Gray Squirrel, , ,1
cd00009,7447235,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern Gray Squirrel, , ,1
cd00010,7447234,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog, , ,1
cd00011,7447263,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog, , ,1
cd00012,7447285,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd00013,7447311,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00014,6977744,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00015,6977891,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd00016,6977934,Mammalia,Primates,Hominidae,Homo,sapiens,Human, , ,1
cd00017,6977957,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern Gray Squirrel, , ,1
cd00018,6977958,Mammalia,Rodentia,Sciuridae,Sciurus,carolinensis,Eastern Gray Squirrel, , ,1
cd00019,6977963,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic Dog, , ,1
cd00020,6978012, , , , , ,Unknown, , ,1
cd00021,6978023,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00022,7447452,Mammalia,Primates,Hominidae,Homo,sapiens,Human-Camera Trapper, , ,1
cd00023,7447484,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote, , ,1
