site_id,array_name,development_level
OR_Forest_Forrester_21_loc_01dup,Forrester,Wild
OR_Forest_Forrester_21_loc_02,Forrester,Wild
OR_Forest_Forrester_21_loc_03,Forrester,Wild
OR_Forest_Forrester_21_loc_04,Forrester,Wild
OR_Forest_Forrester_21_loc_05,Forrester,Wild
OR_Forest_Forrester_21_loc_06,Forrester,Wild
OR_Forest_Forrester_21_loc_07,Forrester,Wild
OR_Forest_Forrester_21_loc_08,Forrester,Wild
OR_Forest_Forrester_21_loc_09,Forrester,Wild
OR_Forest_Forrester_21_loc_10,Forrester,Wild
OR_Forest_Forrester_21_loc_11,Forrester,Wild
OR_Forest_Forrester_21_loc_12,Forrester,Wild
OR_Forest_Forrester_21_loc_13,Forrester,Wild
OR_Forest_Forrester_21_loc_14,Forrester,Wild
OR_Forest_Forrester_21_loc_15,Forrester,Wild
OR_Forest_Forrester_21_loc_16,Forrester,Wild
OR_Forest_Forrester_21_loc_17,Forrester,Wild
OR_Forest_Forrester_21_loc_18,Forrester,Wild
OR_Forest_Forrester_21_loc_19,Forrester,Wild
OR_Forest_Forrester_21_loc_20,Forrester,Wild
OR_Forest_Forrester_21_loc_21,Forrester,Wild
OR_Forest_Forrester_21_loc_22,Forrester,Wild
OR_Forest_Forrester_21_loc_23,Forrester,Wild
OR_Forest_Forrester_21_loc_24,Forrester,Wild
OR_Forest_Forrester_21_loc_25,Forrester,Wild
OR_Forest_Forrester_21_loc_26,Forrester,Wild
OR_Forest_Forrester_21_loc_27,Forrester,Wild
OR_Forest_Forrester_21_loc_28,Forrester,Wild
WA_Kamiak_21_loc_01,KamiakButte,Wild
WA_Kamiak_21_loc_002,KamiakButte,Wild
WA_Kamiak_21_loc_0010,KamiakButte,Wild
WA_Kamiak_21_loc_017,KamiakButte,Wild
WA_Kamiak_21_loc_03,KamiakButte,Wild
WA_Kamiak_21_loc_04,KamiakButte,Wild
WA_Kamiak_21_loc_05,KamiakButte,Wild
WA_Kamiak_21_loc_06,KamiakButte,Wild
WA_Kamiak_21_loc_07,KamiakButte,Wild
WA_Kamiak_21_loc_12,KamiakButte,Wild
WA_Kamiak_21_loc_19,KamiakButte,Wild
WA_Smoot_Hill_0012,SmootHill,Rural
WA_Smoot_Hill_0006,SmootHill,Rural
WA_Smoot_Hill_01,SmootHill,Rural
WA_Smoot_Hill_014,SmootHill,Rural
WA_Smoot_Hill_016,SmootHill,Rural
WA_Smoot_Hill_017,SmootHill,Rural
WA_Smoot_Hill_019,SmootHill,Rural
WA_Smoot_Hill_02,SmootHill,Rural
WA_Smoot_Hill_03,SmootHill,Rural
WA_Smoot_Hill_04,SmootHill,Rural
WA_Smoot_Hill_05,SmootHill,Rural
WA_Smoot_Hill_07,SmootHill,Rural
WA_Smoot_Hill_10,SmootHill,Rural
NRPSS1,NRPSS1,Urban
SWDSS1,SWDSS1,Urban
UIEF_22_02,Rachlow,Wild
UIEF_22_03,Rachlow,Wild
UIEF_22_04,Rachlow,Wild
UIEF_22_05,Rachlow,Wild
UIEF_22_07,Rachlow,Wild
UIEF_22_08,Rachlow,Wild
UIEF_22_09,Rachlow,Wild
UIEF_22_10,Rachlow,Wild
UIEF_22_12,Rachlow,Wild
UIEF_22_13,Rachlow,Wild
UIEF_22_14,Rachlow,Wild
UIEF_22_15,Rachlow,Wild
UIEF_22_16,Rachlow,Wild
UIEF_22_17,Rachlow,Wild
UIEF_22_18,Rachlow,Wild
UIEF_22_19,Rachlow,Wild
UIEF_22_20,Rachlow,Wild
UIEF_22_31,Rachlow,Wild
UIEF_22_32,Rachlow,Wild
UIEF_22_33,Rachlow,Wild
UIEF_22_34,Rachlow,Wild
UIEF_22_35,Rachlow,Wild
UIEF_22_36,Rachlow,Wild
UIEF_22_37,Rachlow,Wild
UIEF_22_38,Rachlow,Wild
UIEF_22_39,Rachlow,Wild
UIEF_22_40,Rachlow,Wild
UIEF_22_41,Rachlow,Wild
UIEF_22_42,Rachlow,Wild
UIEF_22_43,Rachlow,Wild
UIEF_22_44,Rachlow,Wild
UIEF_22_54,Rachlow,Wild
UIEF_22_55,Rachlow,Wild
WA_Forest_Elwha_Station19,Elwha,Rural
WA_Forest_Elwha_Station18,Elwha,Rural
WA_Forest_Elwha_Station20,Elwha,Rural
WA_Forest_Elwha_Station30,Elwha,Rural
WA_Forest_Elwha_Station74,Elwha,Rural
WA_Forest_Elwha_Station81,Elwha,Rural
WA_Forest_Elwha_Station82,Elwha,Rural
WA_Forest_Elwha_Station84,Elwha,Rural
WA_Forest_Elwha_Station85,Elwha,Rural
WA_Forest_Elwha_Station86,Elwha,Rural
WA_Forest_Elwha_Station87,Elwha,Rural
WA_Forest_Elwha_Station88,Elwha,Rural
WA_Forest_Elwha_Station93,Elwha,Rural
WA_Forest_Elwha_Station94,Elwha,Rural
WA_Forest_Johnson_22_04,Johnson,Suburban
WA_Forest_Johnson_22_10,Johnson,Suburban
WA_Forest_Johnson_22_11,Johnson,Suburban
WA_Forest_Johnson_22_12,Johnson,Suburban
Forest,OlympicPeninsula,Wild
WA_OP_Forect_Cam08,OlympicPeninsula,Wild
WA_OP_Cam03,OlympicPeninsula,Wild
WA_OP_Cam07,OlympicPeninsula,Wild
WA_OP_Cam101,OlympicPeninsula,Wild
WA_OP_Cam102,OlympicPeninsula,Wild
WA_OP_Cam20,OlympicPeninsula,Wild
WA_OP_Cam40,OlympicPeninsula,Wild
WA_OP_Cam41,OlympicPeninsula,Wild
WA_OP_Cam46,OlympicPeninsula,Wild
WA_OP_Cam57,OlympicPeninsula,Wild
WA_OP_Cam94,OlympicPeninsula,Wild
WA_OP_Cam95,OlympicPeninsula,Wild
WA_OP_Cam99,OlympicPeninsula,Wild
cam1,Rachlow,Wild
cam13,Rachlow,Wild
cam15,Rachlow,Wild
rachlow_17,Rachlow,Wild
cam18,Rachlow,Wild
cam19,Rachlow,Wild
cam2,Rachlow,Wild
cam20,Rachlow,Wild
cam31,Rachlow,Wild
cam32,Rachlow,Wild
cam33,Rachlow,Wild
cam35,Rachlow,Wild
cam36,Rachlow,Wild
cam38,Rachlow,Wild
rachlow_39,Rachlow,Wild
rachlow_43,Rachlow,Wild
cam44,Rachlow,Wild
cam45,Rachlow,Wild
cam46,Rachlow,Wild
rachlow_cam48,Rachlow,Wild
cam5,Rachlow,Wild
cam54,Rachlow,Wild
cam55,Rachlow,Wild
cam57,Rachlow,Wild
cam9,Rachlow,Wild
OR_CentralOak_Cam4,McMinnville,Rural
OR_EastCreekOak_SS23_Cam7,McMinnville,Rural
OR_PropertyLine_West_SS23_Cam10,McMinnville,Rural
OR_QuailTreeWest_SS23_Cam3,McMinnville,Rural
OR_Grassland.Run_SS23_Cam1,McMinnville,Rural
OR_West.Forest.Snag_SS23_Cam2,McMinnville,Rural
OR_WestRiverBank_SS23_Cam9,McMinnville,Rural
OR_WestRiverBank_Snag_SS23_Cam11,McMinnville,Rural
WA_East Olympic_40,OlympicPeninsula,Wild
WA_EastOlympic_05,OlympicPeninsula,Wild
WA_EastOlympic_18,OlympicPeninsula,Wild
WA_EastOlympic_64,OlympicPeninsula,Wild
WA_EastOlympic_23,OlympicPeninsula,Wild
WA_EastOlympic_76,OlympicPeninsula,Wild
WA_EastOlympic_83,OlympicPeninsula,Wild
WA_OP_97,OlympicPeninsula,Wild
WA_Forest_Johnson_23_BT10,Johnson,Suburban
WA_Forest_Johnson_23_BT11,Johnson,Suburban
WA_Forest_Johnson_23_BT12,Johnson,Suburban
WA_Forest_Johnson_23_BT4,Johnson,Suburban
SEWA_N02_DRPSS_SP19_OFF,SUCP,Urban
SEWA_N02_PHNSS_SP19_OFF,SUCP,Urban
SEWA_N04_JBPSS_SP19_OFF,SUCP,Urban
SEWA_N07_RWPSS_SP19_OFF,SUCP,Urban
SEWA_NO3_MGPSS_SP19_OFF,SUCP,Urban
SEWA_NO3_RVPSS_SP19_OFF,SUCP,Urban
SEWA_NO5_SVPSS_SP19_OFF,SUCP,Urban
SEWA_NO6_SWDSS_SP19_OFF,SUCP,Urban
ID_Forest_Galena_1,Galena,Wild
ID_Forest_Galena_2,Galena,Wild
ID_Forest_Galena_3,Galena,Wild
ID_Forest_Galena_4,Galena,Wild
ID_Forest_Galena_5,Galena,Wild
ID_Forest_Galena_6,Galena,Wild
ID_Forest_Galena_7,Galena,Wild
ID_Forest_Galena_8,Galena,Wild
ID_Forest_Hailey_1,Hailey,Wild
ID_Forest_Hailey_10,Hailey,Wild
ID_Forest_Hailey_2,Hailey,Wild
ID_Forest_Hailey_4,Hailey,Wild
ID_Forest_Hailey_5,Hailey,Wild
ID_Forest_Hailey_6,Hailey,Wild
ID_Forest_Hailey_7,Hailey,Wild
ID_Forest_Hailey_8,Hailey,Wild
ID_Forest_Hailey_9,Hailey,Wild
ID_Forest_Sun_Valley_1,SunValley,Wild
ID_Forest_Sun_Valley_10,SunValley,Wild
ID_Forest_Sun_Valley_11,SunValley,Wild
ID_Forest_Sun_Valley_2,SunValley,Wild
ID_Forest_Sun_Valley_3,SunValley,Wild
ID_Forest_Sun_Valley_4,SunValley,Wild
ID_Forest_Sun_Valley_5,SunValley,Wild
ID_Forest_Sun_Valley_6,SunValley,Wild
ID_Forest_Sun_Valley_7,SunValley,Wild
ID_Forest_Sun_Valley_8,SunValley,Wild
ID_Forest_Sun_Valley_9,SunValley,Wild
OR_Forest_Oregon_State_University_1,OregonStateUni,Wild
OR_Forest_Oregon_State_University_10,OregonStateUni,Wild
OR_Forest_Oregon_State_University_11,OregonStateUni,Wild
OR_Forest_Oregon_State_University_13,OregonStateUni,Wild
OR_Forest_Oregon_State_University_14,OregonStateUni,Wild
